id,title,context,question,answers
969331847966,جمال خاشقجي,جمال أحمد حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)، صحفي وإعلامي سعودي، رأس عدّة مناصب لعدد من الصحف في السعودية، وتقلّد منصب مستشار، كما أنّه مدير عام قناة العرب الإخبارية سابقًا.,- من هو جمال أحمد حمزة خاشقجي؟,"{'text': ['صحفي وإعلامي'], 'answer_start': [73]}"
115150665555,جمال خاشقجي,جمال أحمد حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)، صحفي وإعلامي سعودي، رأس عدّة مناصب لعدد من الصحف في السعودية، وتقلّد منصب مستشار، كما أنّه مدير عام قناة العرب الإخبارية سابقًا.,- متى ولد جمال أحمد حمزة خاشقجي وتوفي؟ ال,"{'text': ['حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)،'], 'answer_start': [10]}"
74212080718,جمال خاشقجي,جمال أحمد حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)، صحفي وإعلامي سعودي، رأس عدّة مناصب لعدد من الصحف في السعودية، وتقلّد منصب مستشار، كما أنّه مدير عام قناة العرب الإخبارية سابقًا.,- في أي مدينة ولد جمال أحمد حمزة خاشقجي؟ ال,"{'text': ['المدينة المنورة'], 'answer_start': [39]}"
465699296586,جمال خاشقجي,"جمال أحمد حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)، صحفي وإعلامي سعودي، رأس عدّة مناصب لعدد من الصحف في السعودية، وتقلّد منصب مستشار، كما أنّه مدير عام قناة العرب الإخبارية سابقًا. ويكتب عموداً في صحيفة واشنطن بوست منذ 2017، وُصف في الصحف وأجهزة الاعلام العالمية بأنه ""وفيّ للدولة السعودية"" و""منتقد لسياساتها"".",- في أي صحيفة قام بكتابة عمود منذ عام 2017؟ ال,"{'text': ['واشنطن بوست'], 'answer_start': [224]}"
564177542570,جمال خاشقجي,"جمال أحمد حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)، صحفي وإعلامي سعودي، رأس عدّة مناصب لعدد من الصحف في السعودية، وتقلّد منصب مستشار، كما أنّه مدير عام قناة العرب الإخبارية سابقًا. ويكتب عموداً في صحيفة واشنطن بوست منذ 2017، وُصف في الصحف وأجهزة الاعلام العالمية بأنه ""وفيّ للدولة السعودية"" و""منتقد لسياساتها"".",- كيف وصفها في الصحف ووسائل الإعلام الدولية؟ ال,"{'text': ['وُصف في الصحف وأجهزة الاعلام العالمية بأنه ""وفيّ للدولة السعودية"" و""منتقد لسياساتها"".'], 'answer_start': [246]}"
98945395462,جمال خاشقجي,"جمال أحمد حمزة خاشقجي (13 أكتوبر 1958، المدينة المنورة - 2 أكتوبر 2018)، صحفي وإعلامي سعودي، رأس عدّة مناصب لعدد من الصحف في السعودية، وتقلّد منصب مستشار، كما أنّه مدير عام قناة العرب الإخبارية سابقًا. ويكتب عموداً في صحيفة واشنطن بوست منذ 2017، وُصف في الصحف وأجهزة الاعلام العالمية بأنه ""وفيّ للدولة السعودية"" و""منتقد لسياساتها"".",- في أي منصب شغل في الجريدة؟ ال,"{'text': ['وتقلّد منصب مستشار،'], 'answer_start': [135]}"
838329318053,جمال خاشقجي,غادر خاشقجي السعودية في سبتمبر 2017، وكتب بعد ذلك مقالات صحفية انتقد فيها الحكومة السعودية. انتقد خاشقجي بصورة كبيرة ولي العهد السعودي محمد بن سلمان، والملك سلمان بن عبد العزيز. وكذلك عارض التدخل العسكري في اليمن.,- متى غادر خاشقجي السعودية؟ ال,"{'text': ['في سبتمبر 2017،'], 'answer_start': [21]}"
432910739583,جمال خاشقجي,غادر خاشقجي السعودية في سبتمبر 2017، وكتب بعد ذلك مقالات صحفية انتقد فيها الحكومة السعودية. انتقد خاشقجي بصورة كبيرة ولي العهد السعودي محمد بن سلمان، والملك سلمان بن عبد العزيز. وكذلك عارض التدخل العسكري في اليمن.,- لمن ينتقده في مقالاته الإخبارية؟ ال,"{'text': ['الحكومة السعودية.'], 'answer_start': [74]}"
619452973730,جمال خاشقجي,غادر خاشقجي السعودية في سبتمبر 2017، وكتب بعد ذلك مقالات صحفية انتقد فيها الحكومة السعودية. انتقد خاشقجي بصورة كبيرة ولي العهد السعودي محمد بن سلمان، والملك سلمان بن عبد العزيز. وكذلك عارض التدخل العسكري في اليمن.,- لمن انتقد خاشقجي بشدة في مقالاته الإخبارية؟ ال,"{'text': ['ولي العهد السعودي محمد بن سلمان، والملك سلمان بن عبد العزيز.'], 'answer_start': [117]}"
333772766499,السعودية,السعودية أو (رسميًا: المملكة العربية السعودية) هي دولة عربية، وتعد أكبر دولة في الشرق الأوسط وتقع تحديدًا في الجنوب الغربي من قارة آسيا وتشكل الجزء الأكبر من شبه الجزيرة العربية إذ تبلغ مساحتها حوالي مليوني كيلومتر مربع.,- أي دولة هي أكبر دولة في الشرق الأوسط؟ ال,"{'text': ['المملكة العربية السعودية)'], 'answer_start': [21]}"
